Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	256	256	1048576	14.222222222222221
all-gemms	32	256	256	2097152	25.6
all-gemms	64	256	256	4194304	42.666666666666664
all-gemms	128	256	256	8388608	64.0
all-gemms	256	256	256	16777216	85.33333333333333
all-gemms	512	256	256	33554432	102.4
all-gemms	1024	256	256	67108864	113.77777777777777
all-gemms	2048	256	256	134217728	120.47058823529412
all-gemms	4096	256	256	268435456	124.12121212121212
all-gemms	8192	256	256	536870912	126.03076923076924
