Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	4096	4096	268435456	15.875968992248062
all-gemms	32	4096	4096	536870912	31.50769230769231
all-gemms	64	4096	4096	1073741824	62.06060606060606
all-gemms	128	4096	4096	2147483648	120.47058823529412
all-gemms	256	4096	4096	4294967296	227.55555555555554
all-gemms	512	4096	4096	8589934592	409.6
all-gemms	1024	4096	4096	17179869184	682.6666666666666
all-gemms	2048	4096	4096	34359738368	1024.0
all-gemms	4096	4096	4096	68719476736	1365.3333333333333
all-gemms	8192	4096	4096	137438953472	1638.4
