Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	256	16	256	1048576	14.222222222222221
all-gemms	256	32	256	2097152	25.6
all-gemms	256	64	256	4194304	42.666666666666664
all-gemms	256	128	256	8388608	64.0
all-gemms	256	256	256	16777216	85.33333333333333
all-gemms	256	512	256	33554432	102.4
all-gemms	256	1024	256	67108864	113.77777777777777
all-gemms	256	2048	256	134217728	120.47058823529412
all-gemms	256	4096	256	268435456	124.12121212121212
all-gemms	256	8192	256	536870912	126.03076923076924
