ML Workload type	M	N	K	#MACs	AlgorithmReuse	WeightReuse	InputReuse
ResNet50	12544	64	147	118013952	44.42975207	64	12544
ResNet50	3136	64	64	12845056	31.67676768	64	3136
ResNet50	3136	64	576	115605504	56.56112224	64	3136
ResNet50	3136	256	64	51380224	50.37751004	256	3136
ResNet50	3136	64	256	51380224	50.37751004	64	3136
ResNet50	3136	64	576	115605504	56.56112224	64	3136
ResNet50	3136	256	64	51380224	50.37751004	256	3136
ResNet50	3136	64	256	51380224	50.37751004	64	3136
ResNet50	3136	64	576	115605504	56.56112224	64	3136
ResNet50	3136	256	64	51380224	50.37751004	256	3136
ResNet50	3136	128	256	102760448	83.07284768	128	3136
ResNet50	784	128	1152	115605504	100.4412811	128	784
ResNet50	784	512	128	51380224	90.57039711	512	784
ResNet50	784	128	512	51380224	90.57039711	128	784
ResNet50	784	128	1152	115605504	100.4412811	128	784
ResNet50	784	512	128	51380224	90.57039711	512	784
ResNet50	784	128	512	51380224	90.57039711	128	784
ResNet50	784	128	1152	115605504	100.4412811	128	784
ResNet50	784	512	128	51380224	90.57039711	512	784
ResNet50	784	128	512	51380224	90.57039711	128	784
ResNet50	784	128	1152	115605504	100.4412811	128	784
ResNet50	784	512	128	51380224	90.57039711	512	784
ResNet50	784	256	512	102760448	140.1564246	256	784
ResNet50	196	256	2304	115605504	105.9061914	256	196
ResNet50	196	1024	256	51380224	100.1516966	1024	196
ResNet50	196	256	1024	51380224	100.1516966	256	196
ResNet50	196	256	2304	115605504	105.9061914	256	196
ResNet50	196	1024	256	51380224	100.1516966	1024	196
ResNet50	196	256	1024	51380224	100.1516966	256	196
ResNet50	196	256	2304	115605504	105.9061914	256	196
ResNet50	196	1024	256	51380224	100.1516966	1024	196
ResNet50	196	256	1024	51380224	100.1516966	256	196
ResNet50	196	256	2304	115605504	105.9061914	256	196
ResNet50	196	1024	256	51380224	100.1516966	1024	196
ResNet50	196	256	1024	51380224	100.1516966	256	196
ResNet50	196	256	2304	115605504	105.9061914	256	196
ResNet50	196	1024	256	51380224	100.1516966	1024	196
ResNet50	196	256	1024	51380224	100.1516966	256	196
ResNet50	196	256	2304	115605504	105.9061914	256	196
ResNet50	196	1024	256	51380224	100.1516966	1024	196
ResNet50	196	512	1024	102760448	124.5062035	512	196
ResNet50	49	512	4608	115605504	44.29030993	512	49
ResNet50	49	2048	512	51380224	43.76450065	2048	49
ResNet50	49	512	2048	51380224	43.76450065	512	49
ResNet50	49	512	4608	115605504	44.29030993	512	49
ResNet50	49	2048	512	51380224	43.76450065	2048	49
ResNet50	49	512	2048	51380224	43.76450065	512	49
ResNet50	49	512	4608	115605504	44.29030993	512	49
ResNet50	49	2048	512	51380224	43.76450065	2048	49
ResNet50	1	1000	2048	2048000	0.9985139304	1000	1
