Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	256	256	16	1048576	14.222222222222221
all-gemms	256	256	32	2097152	25.6
all-gemms	256	256	64	4194304	42.666666666666664
all-gemms	256	256	128	8388608	64.0
all-gemms	256	256	256	16777216	85.33333333333333
all-gemms	256	256	512	33554432	102.4
all-gemms	256	256	1024	67108864	113.77777777777777
all-gemms	256	256	2048	134217728	120.47058823529412
all-gemms	256	256	4096	268435456	124.12121212121212
all-gemms	256	256	8192	536870912	126.03076923076924
