Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	1024	1024	16777216	15.515151515151516
all-gemms	32	1024	1024	33554432	30.11764705882353
all-gemms	64	1024	1024	67108864	56.888888888888886
all-gemms	128	1024	1024	134217728	102.4
all-gemms	256	1024	1024	268435456	170.66666666666666
all-gemms	512	1024	1024	536870912	256.0
all-gemms	1024	1024	1024	1073741824	341.3333333333333
all-gemms	2048	1024	1024	2147483648	409.6
all-gemms	4096	1024	1024	4294967296	455.1111111111111
all-gemms	8192	1024	1024	8589934592	481.88235294117646
