Workload type	M	N	K	#MACs	AlgorithmicReuse
all-gemms	16	16	16	4096	5.333333333333333
all-gemms	16	16	32	8192	6.4
all-gemms	16	16	64	16384	7.111111111111111
all-gemms	16	16	128	32768	7.529411764705882
all-gemms	16	16	256	65536	7.757575757575758
all-gemms	16	16	512	131072	7.876923076923077
all-gemms	16	16	1024	262144	7.937984496124031
all-gemms	16	16	2048	524288	7.968871595330739
all-gemms	16	16	4096	1048576	7.984405458089668
all-gemms	16	16	8192	2097152	7.9921951219512195
all-gemms	16	32	16	8192	6.4
all-gemms	16	32	32	16384	8.0
all-gemms	16	32	64	32768	9.142857142857142
all-gemms	16	32	128	65536	9.846153846153847
all-gemms	16	32	256	131072	10.24
all-gemms	16	32	512	262144	10.448979591836734
all-gemms	16	32	1024	524288	10.556701030927835
all-gemms	16	32	2048	1048576	10.61139896373057
all-gemms	16	32	4096	2097152	10.638961038961039
all-gemms	16	32	8192	4194304	10.652795838751626
all-gemms	16	64	16	16384	7.111111111111111
all-gemms	16	64	32	32768	9.142857142857142
all-gemms	16	64	64	65536	10.666666666666666
all-gemms	16	64	128	131072	11.636363636363637
all-gemms	16	64	256	262144	12.19047619047619
all-gemms	16	64	512	524288	12.487804878048781
all-gemms	16	64	1024	1048576	12.641975308641975
all-gemms	16	64	2048	2097152	12.720496894409937
all-gemms	16	64	4096	4194304	12.7601246105919
all-gemms	16	64	8192	8388608	12.78003120124805
all-gemms	16	128	16	32768	7.529411764705882
all-gemms	16	128	32	65536	9.846153846153847
all-gemms	16	128	64	131072	11.636363636363637
all-gemms	16	128	128	262144	12.8
all-gemms	16	128	256	524288	13.473684210526315
all-gemms	16	128	512	1048576	13.837837837837839
all-gemms	16	128	1024	2097152	14.027397260273972
all-gemms	16	128	2048	4194304	14.124137931034483
all-gemms	16	128	4096	8388608	14.173010380622838
all-gemms	16	128	8192	16777216	14.197573656845753
all-gemms	16	256	16	65536	7.757575757575758
all-gemms	16	256	32	131072	10.24
all-gemms	16	256	64	262144	12.19047619047619
all-gemms	16	256	128	524288	13.473684210526315
all-gemms	16	256	256	1048576	14.222222222222221
all-gemms	16	256	512	2097152	14.628571428571428
all-gemms	16	256	1024	4194304	14.840579710144928
all-gemms	16	256	2048	8388608	14.94890510948905
all-gemms	16	256	4096	16777216	15.003663003663004
all-gemms	16	256	8192	33554432	15.03119266055046
all-gemms	16	512	16	131072	7.876923076923077
all-gemms	16	512	32	262144	10.448979591836734
all-gemms	16	512	64	524288	12.487804878048781
all-gemms	16	512	128	1048576	13.837837837837839
all-gemms	16	512	256	2097152	14.628571428571428
all-gemms	16	512	512	4194304	15.058823529411764
all-gemms	16	512	1024	8388608	15.283582089552239
all-gemms	16	512	2048	16777216	15.398496240601503
all-gemms	16	512	4096	33554432	15.456603773584906
all-gemms	16	512	8192	67108864	15.485822306238186
all-gemms	16	1024	16	262144	7.937984496124031
all-gemms	16	1024	32	524288	10.556701030927835
all-gemms	16	1024	64	1048576	12.641975308641975
all-gemms	16	1024	128	2097152	14.027397260273972
all-gemms	16	1024	256	4194304	14.840579710144928
all-gemms	16	1024	512	8388608	15.283582089552239
all-gemms	16	1024	1024	16777216	15.515151515151516
all-gemms	16	1024	2048	33554432	15.633587786259541
all-gemms	16	1024	4096	67108864	15.693486590038313
all-gemms	16	1024	8192	134217728	15.723608445297504
all-gemms	16	2048	16	524288	7.968871595330739
all-gemms	16	2048	32	1048576	10.61139896373057
all-gemms	16	2048	64	2097152	12.720496894409937
all-gemms	16	2048	128	4194304	14.124137931034483
all-gemms	16	2048	256	8388608	14.94890510948905
all-gemms	16	2048	512	16777216	15.398496240601503
all-gemms	16	2048	1024	33554432	15.633587786259541
all-gemms	16	2048	2048	67108864	15.753846153846155
all-gemms	16	2048	4096	134217728	15.814671814671815
all-gemms	16	2048	8192	268435456	15.845261121856867
all-gemms	16	4096	16	1048576	7.984405458089668
all-gemms	16	4096	32	2097152	10.638961038961039
all-gemms	16	4096	64	4194304	12.7601246105919
all-gemms	16	4096	128	8388608	14.173010380622838
all-gemms	16	4096	256	16777216	15.003663003663004
all-gemms	16	4096	512	33554432	15.456603773584906
all-gemms	16	4096	1024	67108864	15.693486590038313
all-gemms	16	4096	2048	134217728	15.814671814671815
all-gemms	16	4096	4096	268435456	15.875968992248062
all-gemms	16	4096	8192	536870912	15.906796116504854
all-gemms	16	8192	16	2097152	7.9921951219512195
all-gemms	16	8192	32	4194304	10.652795838751626
all-gemms	16	8192	64	8388608	12.78003120124805
all-gemms	16	8192	128	16777216	14.197573656845753
all-gemms	16	8192	256	33554432	15.03119266055046
all-gemms	16	8192	512	67108864	15.485822306238186
all-gemms	16	8192	1024	134217728	15.723608445297504
all-gemms	16	8192	2048	268435456	15.845261121856867
all-gemms	16	8192	4096	536870912	15.906796116504854
all-gemms	16	8192	8192	1073741824	15.937743190661479
all-gemms	32	16	16	8192	6.4
all-gemms	32	16	32	16384	8.0
all-gemms	32	16	64	32768	9.142857142857142
all-gemms	32	16	128	65536	9.846153846153847
all-gemms	32	16	256	131072	10.24
all-gemms	32	16	512	262144	10.448979591836734
all-gemms	32	16	1024	524288	10.556701030927835
all-gemms	32	16	2048	1048576	10.61139896373057
all-gemms	32	16	4096	2097152	10.638961038961039
all-gemms	32	16	8192	4194304	10.652795838751626
all-gemms	32	32	16	16384	8.0
all-gemms	32	32	32	32768	10.666666666666666
all-gemms	32	32	64	65536	12.8
all-gemms	32	32	128	131072	14.222222222222221
all-gemms	32	32	256	262144	15.058823529411764
all-gemms	32	32	512	524288	15.515151515151516
all-gemms	32	32	1024	1048576	15.753846153846155
all-gemms	32	32	2048	2097152	15.875968992248062
all-gemms	32	32	4096	4194304	15.937743190661479
all-gemms	32	32	8192	8388608	15.968810916179336
all-gemms	32	64	16	32768	9.142857142857142
all-gemms	32	64	32	65536	12.8
all-gemms	32	64	64	131072	16.0
all-gemms	32	64	128	262144	18.285714285714285
