Workload type	M	N	K	#MACs	AlgorithmicReuse
regular-gemms	16	16	16	4096	5.333333333333333
regular-gemms	32	32	32	32768	10.666666666666666
regular-gemms	64	64	64	262144	21.333333333333332
regular-gemms	128	128	128	2097152	42.666666666666664
regular-gemms	256	256	256	16777216	85.33333333333333
regular-gemms	512	512	512	134217728	170.66666666666666
regular-gemms	1024	1024	1024	1073741824	341.3333333333333
regular-gemms	2048	2048	2048	8589934592	682.6666666666666
regular-gemms	4096	4096	4096	68719476736	1365.3333333333333
regular-gemms	8192	8192	8192	549755813888	2730.6666666666665
