ML Workload type	M	N	K	#OPs	AlgorithmReuse	WeightReuse	InputReuse	Input size	OUtput size	Weight size
BERT-Large	512	1024	1024	1073741824	512	2048	1024	524288	524288	1024
BERT-Large	512	512	1024	536870912	409.6	1024	1024	524288	262144	512
BERT-Large	512	1024	512	536870912	409.6	2048	1024	262144	524288	512
BERT-Large	512	4096	1024	4294967296	630.1538462	8192	1024	524288	2097152	4096
BERT-Large	512	1024	4096	4294967296	630.1538462	2048	1024	2097152	524288	4096
GPT-J	1	4096	4096	33554432	1.999023914	8192	2	4096	4096	16384
GPT-J	2048	4096	4096	68719476736	2048	8192	4096	8388608	8388608	16384
GPT-J	1	2048	4096	16777216	1.998536228	4096	2	4096	2048	8192
GPT-J	1	4096	2048	16777216	1.998536228	8192	2	2048	4096	8192
GPT-J	1	16384	4096	134217728	1.999389835	32768	2	4096	16384	65536
GPT-J	1	4096	16384	134217728	1.999389835	8192	2	16384	4096	65536
DLRM	1	256	512	262144	1.988349515	512	2	512	256	128
DLRM	1	64	256	32768	1.961685824	128	2	256	64	16
ResNet50	12544	64	147	236027904	88.85950413	128	25088	1843968	802816	9.1875
ResNet50	3136	64	64	25690112	63.35353535	128	6272	200704	200704	4
ResNet50	3136	64	576	231211008	113.1222445	128	6272	1806336	200704	36
ResNet50	3136	256	64	102760448	100.7550201	512	6272	200704	802816	16
ResNet50	3136	64	256	102760448	100.7550201	128	6272	802816	200704	16
ResNet50	3136	64	576	231211008	113.1222445	128	6272	1806336	200704	36
ResNet50	3136	256	64	102760448	100.7550201	512	6272	200704	802816	16
ResNet50	3136	64	256	102760448	100.7550201	128	6272	802816	200704	16
ResNet50	3136	64	576	231211008	113.1222445	128	6272	1806336	200704	36
ResNet50	3136	256	64	102760448	100.7550201	512	6272	200704	802816	16
ResNet50	3136	128	256	205520896	166.1456954	256	6272	802816	401408	32
ResNet50	784	128	1152	231211008	200.8825623	256	1568	903168	100352	144
ResNet50	784	512	128	102760448	181.1407942	1024	1568	100352	401408	64
ResNet50	784	128	512	102760448	181.1407942	256	1568	401408	100352	64
ResNet50	784	128	1152	231211008	200.8825623	256	1568	903168	100352	144
ResNet50	784	512	128	102760448	181.1407942	1024	1568	100352	401408	64
ResNet50	784	128	512	102760448	181.1407942	256	1568	401408	100352	64
ResNet50	784	128	1152	231211008	200.8825623	256	1568	903168	100352	144
ResNet50	784	512	128	102760448	181.1407942	1024	1568	100352	401408	64
ResNet50	784	128	512	102760448	181.1407942	256	1568	401408	100352	64
ResNet50	784	128	1152	231211008	200.8825623	256	1568	903168	100352	144
ResNet50	784	512	128	102760448	181.1407942	1024	1568	100352	401408	64
ResNet50	784	256	512	205520896	280.3128492	512	1568	401408	200704	128
ResNet50	196	256	2304	231211008	211.8123827	512	392	451584	50176	576
ResNet50	196	1024	256	102760448	200.3033932	2048	392	50176	200704	256
ResNet50	196	256	1024	102760448	200.3033932	512	392	200704	50176	256
ResNet50	196	256	2304	231211008	211.8123827	512	392	451584	50176	576
ResNet50	196	1024	256	102760448	200.3033932	2048	392	50176	200704	256
ResNet50	196	256	1024	102760448	200.3033932	512	392	200704	50176	256
ResNet50	196	256	2304	231211008	211.8123827	512	392	451584	50176	576
ResNet50	196	1024	256	102760448	200.3033932	2048	392	50176	200704	256
ResNet50	196	256	1024	102760448	200.3033932	512	392	200704	50176	256
ResNet50	196	256	2304	231211008	211.8123827	512	392	451584	50176	576
ResNet50	196	1024	256	102760448	200.3033932	2048	392	50176	200704	256
ResNet50	196	256	1024	102760448	200.3033932	512	392	200704	50176	256
ResNet50	196	256	2304	231211008	211.8123827	512	392	451584	50176	576
ResNet50	196	1024	256	102760448	200.3033932	2048	392	50176	200704	256
ResNet50	196	256	1024	102760448	200.3033932	512	392	200704	50176	256
ResNet50	196	256	2304	231211008	211.8123827	512	392	451584	50176	576
ResNet50	196	1024	256	102760448	200.3033932	2048	392	50176	200704	256
ResNet50	196	512	1024	205520896	249.0124069	1024	392	200704	100352	512
ResNet50	49	512	4608	231211008	88.58061985	1024	98	225792	25088	2304
ResNet50	49	2048	512	102760448	87.52900131	4096	98	25088	100352	1024
ResNet50	49	512	2048	102760448	87.52900131	1024	98	100352	25088	1024
ResNet50	49	512	4608	231211008	88.58061985	1024	98	225792	25088	2304
ResNet50	49	2048	512	102760448	87.52900131	4096	98	25088	100352	1024
ResNet50	49	512	2048	102760448	87.52900131	1024	98	100352	25088	1024
ResNet50	49	512	4608	231211008	88.58061985	1024	98	225792	25088	2304
ResNet50	49	2048	512	102760448	87.52900131	4096	98	25088	100352	1024
ResNet50	1	1000	2048	4096000	1.997027861	2000	2	2048	1000	2000
